NTA_code,NTA_name,borough_name,n_typical_listings,typical_nightly_earnings,typical_annual_trip_nights,typical_annual_short_term_trip_nights,proportion_entire_home,proportion_private_or_shared_room
BK31,Bay Ridge,Brooklyn,81,84,62,29,0.567,0.432
BK43,Midwood,Brooklyn,23,63,22,21,0.304,0.695
BK46,Ocean Parkway South,Brooklyn,7,64,49,29,0.428,0.571
BK26,Gravesend,Brooklyn,1,NA,NA,NA,NA,NA
BK29,Bensonhurst East,Brooklyn,8,87,28.5,18.5,0.625,0.375
SI22,West New Brighton-New Brighton-St. George,Staten Island,38,84,80.5,71.5,0.315,0.684
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,5,NA,NA,NA,NA,NA
SI28,Port Richmond,Staten Island,2,NA,NA,NA,NA,NA
SI36,Old Town-Dongan Hills-South Beach,Staten Island,5,NA,NA,NA,NA,NA
QN05,Rosedale,Queens,3,NA,NA,NA,NA,NA
QN72,Steinway,Queens,143,81,42,39,0.412,0.587
SI35,New Brighton-Silver Lake,Staten Island,12,42,201,154,0.25,0.75
SI07,Westerleigh,Staten Island,1,NA,NA,NA,NA,NA
BK19,Brighton Beach,Brooklyn,29,60,37,32,0.275,0.724
BK21,Seagate-Coney Island,Brooklyn,11,106,55,19,0.545,0.454
BK23,West Brighton,Brooklyn,5,NA,NA,NA,NA,NA
SI48,Arden Heights,Staten Island,0,NA,NA,NA,NA,NA
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,4,NA,NA,NA,NA,NA
SI32,Rossville-Woodrow,Staten Island,0,NA,NA,NA,NA,NA
BK58,Flatlands,Brooklyn,17,81,60,56,0.529,0.47
MN32,Yorkville,Manhattan,580,133,39,32,0.775,0.224
BK85,East New York (Pennsylvania Ave),Brooklyn,12,67,122,122,0.416,0.583
QN56,Ozone Park,Queens,5,NA,NA,NA,NA,NA
BK60,Prospect Lefferts Gardens-Wingate,Brooklyn,330,78.5,55.5,34.5,0.53,0.469
BK91,East Flatbush-Farragut,Brooklyn,24,104.5,57,49.5,0.708,0.291
MN40,Upper East Side-Carnegie Hill,Manhattan,232,166,44,32.5,0.762,0.237
MN33,East Harlem South,Manhattan,365,104,67,52,0.498,0.501
BK82,East New York,Brooklyn,28,60,85.5,43.5,0.357,0.642
BK90,East Williamsburg,Brooklyn,654,101,33,28,0.5,0.5
BK72,Williamsburg,Brooklyn,21,138,112,60,0.619,0.38
BK75,Bedford,Brooklyn,646,77,47.5,33,0.465,0.534
BK81,Brownsville,Brooklyn,9,52,114,105,0.111,0.888
MN20,Murray Hill-Kips Bay,Manhattan,511,155,37,27,0.761,0.238
BK35,Stuyvesant Heights,Brooklyn,569,81,85,52,0.497,0.502
BK79,Ocean Hill,Brooklyn,96,68,85.5,61,0.437,0.562
BX43,Norwood,Bronx,9,51,77,69,0.222,0.777
BK61,Crown Heights North,Brooklyn,730,85.5,47,33,0.545,0.454
MN50,Stuyvesant Town-Cooper Village,Manhattan,35,131,20,15,0.571,0.428
MN21,Gramercy,Manhattan,354,167,42.5,31,0.757,0.242
MN22,East Village,Manhattan,1328,153,43.5,37,0.698,0.301
BK83,Cypress Hills-City Line,Brooklyn,23,60,68,68,0.173,0.826
QN53,Woodhaven,Queens,16,59,116.5,112.5,0.375,0.625
BK63,Crown Heights South,Brooklyn,128,69,49,36.5,0.484,0.515
BK96,Rugby-Remsen Village,Brooklyn,14,59,69.5,40,0.357,0.642
BX06,Belmont,Bronx,4,NA,NA,NA,NA,NA
BX07,Bronxdale,Bronx,3,NA,NA,NA,NA,NA
BX44,Williamsbridge-Olinville,Bronx,7,84,32,32,0.714,0.285
BX03,Eastchester-Edenwald-Baychester,Bronx,7,56,67,55,0.285,0.714
BX31,Allerton-Pelham Gardens,Bronx,16,49,167.5,78,0.312,0.687
MN09,Morningside Heights,Manhattan,384,100,27.5,22,0.481,0.518
SI05,New Springville-Bloomfield-Travis,Staten Island,5,NA,NA,NA,NA,NA
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,4,NA,NA,NA,NA,NA
MN35,Washington Heights North,Manhattan,254,69,51.5,28,0.448,0.551
MN36,Washington Heights South,Manhattan,361,65,44,29,0.31,0.689
QN57,Lindenwood-Howard Beach,Queens,2,NA,NA,NA,NA,NA
BK50,Canarsie,Brooklyn,33,77,102,87,0.515,0.484
BK93,Starrett City,Brooklyn,0,NA,NA,NA,NA,NA
SI37,Stapleton-Rosebank,Staten Island,14,79.5,60,30,0.428,0.571
SI08,Grymes Hill-Clifton-Fox Hills,Staten Island,6,52,194,194,0.333,0.666
SI14,Grasmere-Arrochar-Ft. Wadsworth,Staten Island,9,97,87,20,0.555,0.444
QN43,Bellerose,Queens,3,NA,NA,NA,NA,NA
BX39,Mott Haven-Port Morris,Bronx,42,61,91,40,0.428,0.571
MN03,Central Harlem North-Polo Grounds,Manhattan,524,90,60,47,0.505,0.494
MN34,East Harlem North,Manhattan,315,97,77,50,0.485,0.514
MN12,Upper West Side,Manhattan,953,149,37,28,0.73,0.269
MN14,Lincoln Square,Manhattan,362,174,32,27,0.787,0.212
